# Time-averaged data for fix out
# TimeStep v_depth v_force
1000 0.2525 -0.0160379
2000 0.7525 -0.0666378
3000 1.2525 -0.0633493
4000 1.7525 0.119656
5000 2.2525 -0.517427
6000 2.7525 -0.538257
7000 3.2525 -0.335771
8000 3.7525 -0.946196
9000 4.2525 -1.45889
10000 4.7525 -0.670976
11000 5.2525 -1.1001
12000 5.7525 -1.19047
13000 6.2525 -0.443958
14000 6.7525 -1.28975
15000 7.2525 -1.58555
16000 7.7525 -1.35813
17000 8.2525 -1.35314
18000 8.7525 -0.902642
19000 9.2525 -0.749954
20000 9.7525 -1.70909
21000 10.2525 -1.70543
22000 10.7525 -2.21091
23000 11.2525 -2.09352
24000 11.7525 -3.14595
25000 12.2525 -3.48107
26000 12.7525 -3.90662
27000 13.2525 -4.3078
28000 13.7525 -4.85445
29000 14.2525 -5.19905
30000 14.7525 -5.72202
31000 15.2525 -6.80446
32000 15.7525 -10.058
33000 16.2525 -7.72913
34000 16.7525 -9.84959
35000 17.2525 -10.6118
36000 17.7525 -12.064
37000 18.2525 -13.979
38000 18.7525 -10.975
39000 19.2525 -10.3223
40000 19.7525 -13.1316
41000 20.2525 -10.9512
42000 20.7525 -12.4103
43000 21.2525 -10.6787
44000 21.7525 -11.0052
45000 22.2525 -13.4633
46000 22.7525 -9.22445
47000 23.2525 -10.6834
48000 23.7525 -8.60576
49000 24.2525 -8.38948
50000 24.7525 -2.26965
51000 25.2525 -3.09093
52000 25.7525 2.30415
53000 26.2525 3.8635
54000 26.7525 9.26068
55000 27.2525 12.9625
56000 27.7525 18.1862
57000 28.2525 24.5041
58000 28.7525 25.4237
59000 29.2525 33.1093
60000 29.7525 37.311
61000 30.2525 43.031
62000 30.7525 45.3977
63000 31.2525 56.8873
64000 31.7525 58.6422
65000 32.2525 68.5087
66000 32.7525 80.8817
67000 33.2525 85.8128
68000 33.7525 96.1753
69000 34.2525 109.556
70000 34.7525 119.077
71000 35.2525 132.063
72000 35.7525 141.823
73000 36.2525 160.307
74000 36.7525 176.673
75000 37.2525 197.031
76000 37.7525 220.926
77000 38.2525 243.085
78000 38.7525 270.334
79000 39.2525 302.163
80000 39.7525 336.921
# Time-averaged data for fix out
# TimeStep v_depth v_force
1000 39.7475 265.044
2000 39.2475 190.116
3000 38.7475 127.081
4000 38.2475 85.5543
5000 37.7475 57.9194
6000 37.2475 29.1183
7000 36.7475 8.52299
8000 36.2475 -4.08885
9000 35.7475 -18.1259
10000 35.2475 -28.2716
11000 34.7475 -34.8833
12000 34.2475 -44.0889
13000 33.7475 -50.3132
14000 33.2475 -54.6486
15000 32.7475 -54.9058
16000 32.2475 -61.0853
17000 31.7475 -59.6911
18000 31.2475 -67.0785
19000 30.7475 -66.9444
20000 30.2475 -67.7479
21000 29.7475 -67.2266
22000 29.2475 -67.3041
23000 28.7475 -70.1651
24000 28.2475 -67.0918
25000 27.7475 -68.3
26000 27.2475 -71.9944
27000 26.7475 -70.1165
28000 26.2475 -71.0597
29000 25.7475 -67.7427
30000 25.2475 -72.7225
31000 24.7475 -71.4379
32000 24.2475 -66.6648
33000 23.7475 -70.2712
34000 23.2475 -69.2386
35000 22.7475 -68.6418
36000 22.2475 -66.0332
37000 21.7475 -67.5486
38000 21.2475 -67.3981
39000 20.7475 -66.1266
40000 20.2475 -65.1367
41000 19.7475 -62.5572
42000 19.2475 -64.7969
43000 18.7475 -64.4017
44000 18.2475 -63.7504
45000 17.7475 -62.036
46000 17.2475 -62.3062
47000 16.7475 -60.1904
48000 16.2475 -59.5266
49000 15.7475 -61.7473
50000 15.2475 -59.4899
51000 14.7475 -59.3623
52000 14.2475 -61.0465
53000 13.7475 -57.8589
54000 13.2475 -58.3272
55000 12.7475 -57.8871
56000 12.2475 -55.6304
57000 11.7475 -58.1688
58000 11.2475 -60.9477
59000 10.7475 -59.3064
60000 10.2475 -57.7422
61000 9.7475 -57.7821
62000 9.2475 -57.1162
63000 8.7475 -57.3949
64000 8.2475 -57.5594
65000 7.7475 -55.5012
66000 7.2475 -56.71
67000 6.7475 -57.21
68000 6.2475 -53.5084
69000 5.7475 -55.9316
70000 5.2475 -53.4679
71000 4.7475 -54.3497
72000 4.2475 -52.8497
73000 3.7475 -50.8931
74000 3.2475 -53.4818
75000 2.7475 -54.5574
76000 2.2475 -52.6089
77000 1.7475 -53.1454
78000 1.2475 -51.3006
79000 0.7475 -51.4332
80000 0.2475 -52.4613
81000 -0.2525 -50.2906
82000 -0.7525 -52.0458
83000 -1.2525 -47.7559
84000 -1.7525 -50.9926
85000 -2.2525 -47.106
86000 -2.7525 -49.0453
87000 -3.2525 -51.083
88000 -3.7525 -47.8396
89000 -4.2525 -46.2122
90000 -4.7525 -46.731
91000 -5.2525 -46.8137
92000 -5.7525 -45.9164
93000 -6.2525 -45.967
94000 -6.7525 -46.2663
95000 -7.2525 -46.9845
96000 -7.7525 -44.2317
97000 -8.2525 -43.707
98000 -8.7525 -45.937
99000 -9.2525 -43.1547
100000 -9.7525 -42.5429
101000 -10.2525 -44.8359
102000 -10.7525 -41.7527
