# Time-averaged data for fix out
# TimeStep v_depth v_force
1000 0.2525 -0.0348925
2000 0.7525 -0.218167
3000 1.2525 -0.370175
4000 1.7525 -0.42579
5000 2.2525 -1.2589
6000 2.7525 -1.75887
7000 3.2525 -1.43181
8000 3.7525 -1.80509
9000 4.2525 -2.13746
10000 4.7525 -1.8184
11000 5.2525 -4.24735
12000 5.7525 -2.63289
13000 6.2525 -4.54923
14000 6.7525 -4.59222
15000 7.2525 -6.64659
16000 7.7525 -5.50781
17000 8.2525 -7.46551
18000 8.7525 -7.69707
19000 9.2525 -8.56696
20000 9.7525 -10.7474
21000 10.2525 -11.6432
22000 10.7525 -13.0249
23000 11.2525 -14.7167
24000 11.7525 -19.3598
25000 12.2525 -22.6236
26000 12.7525 -25.1028
27000 13.2525 -31.5548
28000 13.7525 -32.3981
29000 14.2525 -37.054
30000 14.7525 -38.5473
31000 15.2525 -41.5936
32000 15.7525 -41.9397
33000 16.2525 -43.9861
34000 16.7525 -43.2188
35000 17.2525 -45.1367
36000 17.7525 -47.1547
37000 18.2525 -48.1184
38000 18.7525 -46.6168
39000 19.2525 -40.8061
40000 19.7525 -42.1135
41000 20.2525 -39.9854
42000 20.7525 -37.2259
43000 21.2525 -34.2136
44000 21.7525 -30.7387
45000 22.2525 -29.0755
46000 22.7525 -26.2385
47000 23.2525 -15.5524
48000 23.7525 -13.8846
49000 24.2525 -16.0542
50000 24.7525 -2.22612
51000 25.2525 1.37706
52000 25.7525 4.06047
53000 26.2525 8.20362
54000 26.7525 16.9147
55000 27.2525 22.8714
56000 27.7525 24.3646
57000 28.2525 32.1547
58000 28.7525 38.6535
59000 29.2525 45.1069
60000 29.7525 53.7386
61000 30.2525 52.5264
62000 30.7525 64.5757
63000 31.2525 63.0534
64000 31.7525 76.1252
65000 32.2525 80.3996
66000 32.7525 86.6573
67000 33.2525 93.0206
68000 33.7525 99.3114
69000 34.2525 108.573
70000 34.7525 109.531
71000 35.2525 121.141
72000 35.7525 125.674
73000 36.2525 135.501
74000 36.7525 144.26
75000 37.2525 145.625
76000 37.7525 156.519
