# Time-averaged data for fix out
# TimeStep v_depth v_force
1000 0.2525 0
2000 0.7525 0
3000 1.2525 0
4000 1.7525 0
5000 2.2525 0
6000 2.7525 0
7000 3.2525 0
8000 3.7525 0
9000 4.2525 0
10000 4.7525 0
11000 5.2525 0
12000 5.7525 0
13000 6.2525 0
14000 6.7525 0
15000 7.2525 0
16000 7.7525 0
17000 8.2525 0
18000 8.7525 0
19000 9.2525 0
20000 9.7525 0
21000 10.2525 0
22000 10.7525 0
23000 11.2525 0
24000 11.7525 0
25000 12.2525 0
26000 12.7525 0
27000 13.2525 0
28000 13.7525 0
29000 14.2525 0
30000 14.7525 0
31000 15.2525 0
32000 15.7525 0
33000 16.2525 0
34000 16.7525 0
35000 17.2525 0
36000 17.7525 0
37000 18.2525 0
38000 18.7525 0
39000 19.2525 0
40000 19.7525 0
41000 20.2525 0
42000 20.7525 0
43000 21.2525 0
44000 21.7525 0
45000 22.2525 0
46000 22.7525 0
47000 23.2525 0
48000 23.7525 0
49000 24.2525 0
50000 24.7525 0
51000 25.2525 0
52000 25.7525 0
53000 26.2525 0
54000 26.7525 0
55000 27.2525 0
56000 27.7525 0
57000 28.2525 0
58000 28.7525 0
59000 29.2525 0
60000 29.7525 0
61000 30.2525 0
62000 30.7525 0
63000 31.2525 0
64000 31.7525 0
65000 32.2525 0
66000 32.7525 0
67000 33.2525 0
68000 33.7525 0
69000 34.2525 0
70000 34.7525 0
71000 35.2525 0
72000 35.7525 0
73000 36.2525 0
74000 36.7525 0
75000 37.2525 0
76000 37.7525 0
77000 38.2525 0
78000 38.7525 0
79000 39.2525 0
80000 39.7525 0
81000 40.2525 0
82000 40.7525 0
83000 41.2525 0
84000 41.7525 0
85000 42.2525 0
86000 42.7525 0
87000 43.2525 0
88000 43.7525 0
89000 44.2525 0
90000 44.7525 0
91000 45.2525 0
92000 45.7525 0
93000 46.2525 0
94000 46.7525 -0.00448723
95000 47.2525 -0.04722
96000 47.7525 -0.079141
97000 48.2525 -0.00946985
98000 48.7525 -0.121714
99000 49.2525 -0.0788208
100000 49.7525 -0.0366673
101000 50.2525 -0.180309
102000 50.7525 -0.0114056
103000 51.2525 -0.156893
104000 51.7525 -0.143473
105000 52.2525 -0.346528
106000 52.7525 -0.618093
107000 53.2525 -0.522114
108000 53.7525 -0.84293
109000 54.2525 -1.0144
110000 54.7525 -0.629839
111000 55.2525 -1.2907
112000 55.7525 -1.03455
113000 56.2525 -1.88968
114000 56.7525 -1.72298
115000 57.2525 -2.4054
116000 57.7525 -2.26337
117000 58.2525 -3.24843
118000 58.7525 -3.74468
119000 59.2525 -5.07974
120000 59.7525 -4.73133
121000 60.2525 -5.63535
122000 60.7525 -6.88357
123000 61.2525 -6.73693
124000 61.7525 -6.24196
125000 62.2525 -6.13511
126000 62.7525 -9.40777
127000 63.2525 -10.7611
128000 63.7525 -11.5634
129000 64.2525 -12.4253
130000 64.7525 -13.4742
131000 65.2525 -12.3392
132000 65.7525 -14.0495
133000 66.2525 -14.211
134000 66.7525 -14.6599
135000 67.2525 -14.3893
136000 67.7525 -12.15
137000 68.2525 -12.9331
138000 68.7525 -11.4404
139000 69.2525 -11.5277
140000 69.7525 -10.2721
141000 70.2525 -10.1373
142000 70.7525 -5.00038
143000 71.2525 -8.57393
144000 71.7525 -3.52824
145000 72.2525 -4.4061
146000 72.7525 0.322824
147000 73.2525 4.44393
148000 73.7525 6.28665
149000 74.2525 5.74811
150000 74.7525 13.2552
151000 75.2525 12.2911
152000 75.7525 14.7986
153000 76.2525 22.014
154000 76.7525 21.6329
155000 77.2525 26.9324
156000 77.7525 28.0482
157000 78.2525 32.2432
158000 78.7525 33.4876
159000 79.2525 40.8319
160000 79.7525 44.1786
161000 80.2525 50.7169
162000 80.7525 49.0511
163000 81.2525 57.1979
164000 81.7525 59.127
165000 82.2525 65.5953
166000 82.7525 67.7343
167000 83.2525 77.022
168000 83.7525 79.5889
169000 84.2525 82.017
170000 84.7525 88.5015
# Time-averaged data for fix out
# TimeStep v_depth v_force
1000 84.7475 39.1453
2000 84.2475 54.8126
3000 83.7475 33.4001
4000 83.2475 16.4043
5000 82.7475 9.39331
6000 82.2475 -0.371041
7000 81.7475 -8.54007
8000 81.2475 -16.5549
9000 80.7475 -22.7469
10000 80.2475 -24.6733
11000 79.7475 -33.6375
12000 79.2475 -37.9806
13000 78.7475 -38.9895
14000 78.2475 -44.4898
15000 77.7475 -45.5267
16000 77.2475 -49.7439
17000 76.7475 -48.0143
18000 76.2475 -57.9564
19000 75.7475 -52.7428
20000 75.2475 -56.3643
21000 74.7475 -58.0886
22000 74.2475 -61.4228
23000 73.7475 -63.7509
24000 73.2475 -64.7172
25000 72.7475 -64.5734
26000 72.2475 -68.7506
27000 71.7475 -69.8991
28000 71.2475 -68.5141
29000 70.7475 -70.7376
30000 70.2475 -71.9739
31000 69.7475 -73.0171
32000 69.2475 -72.7677
33000 68.7475 -69.135
34000 68.2475 -71.1239
35000 67.7475 -71.5484
36000 67.2475 -71.8974
37000 66.7475 -70.4239
38000 66.2475 -71.0101
39000 65.7475 -70.0938
40000 65.2475 -71.6798
41000 64.7475 -72.1361
42000 64.2475 -69.6719
43000 63.7475 -69.1035
44000 63.2475 -70.6552
45000 62.7475 -69.7228
46000 62.2475 -69.5212
47000 61.7475 -70.7919
48000 61.2475 -71.4707
49000 60.7475 -68.5235
50000 60.2475 -70.6078
51000 59.7475 -69.1407
52000 59.2475 -69.3846
