# Time-averaged data for fix out
# TimeStep v_depth v_force
1000 0.2525 0
2000 0.7525 0
3000 1.2525 0
4000 1.7525 0
5000 2.2525 0
6000 2.7525 0
7000 3.2525 0
8000 3.7525 0
9000 4.2525 0
10000 4.7525 0
11000 5.2525 0
12000 5.7525 0
13000 6.2525 0
14000 6.7525 0
15000 7.2525 0
16000 7.7525 0
17000 8.2525 0
18000 8.7525 0
19000 9.2525 0
20000 9.7525 0
21000 10.2525 0
22000 10.7525 0
23000 11.2525 0
24000 11.7525 0
25000 12.2525 0
26000 12.7525 0
27000 13.2525 0
28000 13.7525 0
29000 14.2525 0
30000 14.7525 0
31000 15.2525 0
32000 15.7525 0
33000 16.2525 0
34000 16.7525 0
35000 17.2525 0
36000 17.7525 0
37000 18.2525 0
38000 18.7525 0
39000 19.2525 0
40000 19.7525 0
41000 20.2525 0
42000 20.7525 0
43000 21.2525 0
44000 21.7525 0
45000 22.2525 0
46000 22.7525 0
47000 23.2525 0
48000 23.7525 0
49000 24.2525 0
50000 24.7525 0
51000 25.2525 0
52000 25.7525 0
53000 26.2525 0
54000 26.7525 0
55000 27.2525 0
56000 27.7525 0
57000 28.2525 0
58000 28.7525 0
59000 29.2525 0
60000 29.7525 0
61000 30.2525 0
62000 30.7525 0
63000 31.2525 0
64000 31.7525 0
65000 32.2525 0
66000 32.7525 0
67000 33.2525 0
68000 33.7525 0
69000 34.2525 0
70000 34.7525 0
71000 35.2525 0
72000 35.7525 0
73000 36.2525 0
74000 36.7525 0
75000 37.2525 0
76000 37.7525 0
77000 38.2525 0
78000 38.7525 0
79000 39.2525 0
80000 39.7525 0
81000 40.2525 0
82000 40.7525 0
83000 41.2525 0
84000 41.7525 0
85000 42.2525 0
86000 42.7525 0
87000 43.2525 0
88000 43.7525 0
89000 44.2525 0
90000 44.7525 0
91000 45.2525 0
92000 45.7525 -0.000208356
93000 46.2525 -0.00547145
94000 46.7525 -0.0242461
95000 47.2525 -0.01569
96000 47.7525 -0.018799
97000 48.2525 -0.00474673
98000 48.7525 -0.00696984
99000 49.2525 -0.036657
100000 49.7525 -0.084558
101000 50.2525 -0.168642
102000 50.7525 -0.200298
103000 51.2525 -0.125041
104000 51.7525 -0.25047
105000 52.2525 -0.444782
106000 52.7525 -0.43311
107000 53.2525 -0.974895
108000 53.7525 -0.997504
109000 54.2525 -2.27338
110000 54.7525 -1.8707
111000 55.2525 -1.84947
112000 55.7525 -1.49127
113000 56.2525 -1.63366
114000 56.7525 -1.86142
115000 57.2525 -2.12373
116000 57.7525 -1.92679
117000 58.2525 -3.10575
118000 58.7525 -2.6489
119000 59.2525 -3.81787
120000 59.7525 -4.71271
121000 60.2525 -5.74247
122000 60.7525 -4.1364
123000 61.2525 -3.76265
124000 61.7525 -7.75417
125000 62.2525 -5.6817
126000 62.7525 -6.69915
127000 63.2525 -7.54106
128000 63.7525 -6.29645
129000 64.2525 -8.41754
130000 64.7525 -6.58505
131000 65.2525 -8.90401
132000 65.7525 -9.19477
133000 66.2525 -11.602
134000 66.7525 -10.0974
135000 67.2525 -13.8226
136000 67.7525 -12.686
137000 68.2525 -13.9022
138000 68.7525 -13.3383
139000 69.2525 -15.6576
140000 69.7525 -14.7019
141000 70.2525 -8.52812
142000 70.7525 -9.97531
143000 71.2525 -9.86243
144000 71.7525 -5.47681
145000 72.2525 -7.43992
146000 72.7525 -2.8264
147000 73.2525 -1.93879
148000 73.7525 0.35206
149000 74.2525 4.23411
150000 74.7525 5.17716
151000 75.2525 9.69576
152000 75.7525 9.19053
153000 76.2525 16.5844
154000 76.7525 19.151
155000 77.2525 24.0085
156000 77.7525 27.054
157000 78.2525 27.5893
158000 78.7525 37.4834
159000 79.2525 39.9055
160000 79.7525 41.8241
161000 80.2525 48.2374
162000 80.7525 51.0198
163000 81.2525 56.5438
164000 81.7525 63.1666
165000 82.2525 60.9275
166000 82.7525 71.4485
167000 83.2525 74.9227
168000 83.7525 77.1475
169000 84.2525 77.2173
170000 84.7525 83.8917
# Time-averaged data for fix out
# TimeStep v_depth v_force
1000 84.7475 37.7865
2000 84.2475 45.5211
3000 83.7475 30.0274
4000 83.2475 15.9928
5000 82.7475 3.17074
6000 82.2475 -6.6335
7000 81.7475 -9.21397
8000 81.2475 -18.8714
9000 80.7475 -27.3589
10000 80.2475 -30.4821
11000 79.7475 -34.2868
12000 79.2475 -41.2939
13000 78.7475 -47.2514
14000 78.2475 -47.736
15000 77.7475 -51.4283
16000 77.2475 -54.47
17000 76.7475 -56.9898
18000 76.2475 -57.6103
19000 75.7475 -64.0424
20000 75.2475 -60.0208
21000 74.7475 -62.388
22000 74.2475 -66.0023
23000 73.7475 -64.2619
24000 73.2475 -65.9945
25000 72.7475 -69.4422
26000 72.2475 -69.0953
27000 71.7475 -71.4304
28000 71.2475 -71.6174
29000 70.7475 -71.7808
30000 70.2475 -73.3721
31000 69.7475 -72.7643
32000 69.2475 -74.1676
33000 68.7475 -76.2768
34000 68.2475 -71.4188
35000 67.7475 -73.009
36000 67.2475 -70.9854
37000 66.7475 -74.1665
38000 66.2475 -73.1064
39000 65.7475 -70.4009
40000 65.2475 -71.7282
41000 64.7475 -75.8988
42000 64.2475 -75.3366
43000 63.7475 -72.9004
44000 63.2475 -73.3944
45000 62.7475 -75.2645
46000 62.2475 -70.9854
47000 61.7475 -75.6927
48000 61.2475 -72.1792
49000 60.7475 -72.5253
50000 60.2475 -72.8299
51000 59.7475 -73.1176
52000 59.2475 -71.9075
