# Time-averaged data for fix out
# TimeStep v_depth v_force
1000 0.2525 0
2000 0.7525 0
3000 1.2525 0
4000 1.7525 0
5000 2.2525 0
6000 2.7525 0
7000 3.2525 0
8000 3.7525 0
9000 4.2525 0
10000 4.7525 0
11000 5.2525 0
12000 5.7525 0
13000 6.2525 0
14000 6.7525 0
15000 7.2525 0
16000 7.7525 0
17000 8.2525 0
18000 8.7525 0
19000 9.2525 0
20000 9.7525 0
21000 10.2525 0
22000 10.7525 0
23000 11.2525 0
24000 11.7525 0
25000 12.2525 0
26000 12.7525 0
27000 13.2525 0
28000 13.7525 0
29000 14.2525 0
30000 14.7525 0
31000 15.2525 0
32000 15.7525 0
33000 16.2525 0
34000 16.7525 0
35000 17.2525 0
36000 17.7525 0
37000 18.2525 0
38000 18.7525 0
39000 19.2525 0
40000 19.7525 0
41000 20.2525 0
42000 20.7525 0
43000 21.2525 0
44000 21.7525 0
45000 22.2525 0
46000 22.7525 0
47000 23.2525 0
48000 23.7525 0
49000 24.2525 0
50000 24.7525 0
51000 25.2525 0
52000 25.7525 0
53000 26.2525 0
54000 26.7525 0
55000 27.2525 0
56000 27.7525 0
57000 28.2525 0
58000 28.7525 0
59000 29.2525 0
60000 29.7525 0
61000 30.2525 0
62000 30.7525 0
63000 31.2525 0
64000 31.7525 0
65000 32.2525 0
66000 32.7525 0
67000 33.2525 0
68000 33.7525 0
69000 34.2525 0
70000 34.7525 0
71000 35.2525 0
72000 35.7525 0
73000 36.2525 0
74000 36.7525 0
75000 37.2525 0
76000 37.7525 0
77000 38.2525 0
78000 38.7525 0
79000 39.2525 0
80000 39.7525 0
81000 40.2525 0
82000 40.7525 0
83000 41.2525 0
84000 41.7525 0
85000 42.2525 0
86000 42.7525 0
87000 43.2525 0
88000 43.7525 0
89000 44.2525 0
90000 44.7525 -1.18495e-06
91000 45.2525 -0.00473659
92000 45.7525 -0.0405296
93000 46.2525 -0.0427196
94000 46.7525 -0.0138143
95000 47.2525 -0.004327
96000 47.7525 -0.000245341
97000 48.2525 -0.0112951
98000 48.7525 -0.00712331
99000 49.2525 -0.00316702
100000 49.7525 -0.0215423
101000 50.2525 -0.0530328
102000 50.7525 -0.138358
103000 51.2525 0.0327363
104000 51.7525 -0.0060307
105000 52.2525 -0.0589991
106000 52.7525 -0.226186
107000 53.2525 -0.227085
108000 53.7525 -0.442008
109000 54.2525 -0.528002
110000 54.7525 -0.680403
111000 55.2525 -0.943094
112000 55.7525 -0.745657
113000 56.2525 -1.36321
114000 56.7525 -1.22535
115000 57.2525 -1.14253
116000 57.7525 -1.1765
117000 58.2525 -0.63094
118000 58.7525 -1.41213
119000 59.2525 -0.930917
120000 59.7525 -0.852386
121000 60.2525 -1.95681
122000 60.7525 -1.48351
123000 61.2525 -1.67686
124000 61.7525 -2.69008
125000 62.2525 -2.92769
126000 62.7525 -3.4925
127000 63.2525 -3.79672
128000 63.7525 -4.87817
129000 64.2525 -4.63736
130000 64.7525 -5.22216
131000 65.2525 -4.58253
132000 65.7525 -2.96778
133000 66.2525 -3.58894
134000 66.7525 -3.14234
135000 67.2525 -1.68933
136000 67.7525 -3.56338
137000 68.2525 0.833387
138000 68.7525 -0.886811
139000 69.2525 1.13424
140000 69.7525 3.3518
141000 70.2525 1.86599
142000 70.7525 4.87377
143000 71.2525 7.31992
144000 71.7525 6.8955
145000 72.2525 10.0393
146000 72.7525 9.5145
147000 73.2525 15.1743
148000 73.7525 17.5194
149000 74.2525 16.1605
150000 74.7525 18.7995
151000 75.2525 24.896
152000 75.7525 24.1748
153000 76.2525 26.3493
154000 76.7525 28.6934
155000 77.2525 36.3618
156000 77.7525 37.5994
157000 78.2525 39.9983
158000 78.7525 44.7837
159000 79.2525 50.0059
160000 79.7525 51.471
161000 80.2525 55.6444
162000 80.7525 61.5347
163000 81.2525 66.085
164000 81.7525 64.3729
165000 82.2525 70.4698
166000 82.7525 76.2223
167000 83.2525 75.9221
168000 83.7525 81.794
169000 84.2525 87.1661
170000 84.7525 94.48
# Time-averaged data for fix out
# TimeStep v_depth v_force
1000 84.7475 52.9994
2000 84.2475 60.4295
3000 83.7475 47.0661
4000 83.2475 35.4359
5000 82.7475 21.7827
6000 82.2475 15.6669
7000 81.7475 8.74784
8000 81.2475 2.95093
9000 80.7475 0.380119
10000 80.2475 -7.07532
11000 79.7475 -10.2663
12000 79.2475 -14.0215
13000 78.7475 -15.3221
14000 78.2475 -17.8609
15000 77.7475 -21.8455
16000 77.2475 -24.2384
17000 76.7475 -27.116
18000 76.2475 -26.5746
19000 75.7475 -25.7383
20000 75.2475 -29.4533
21000 74.7475 -30.9004
22000 74.2475 -30.3385
23000 73.7475 -30.2323
24000 73.2475 -31.0783
25000 72.7475 -34.857
26000 72.2475 -33.7422
27000 71.7475 -33.1406
28000 71.2475 -33.6842
29000 70.7475 -32.9896
30000 70.2475 -33.3761
31000 69.7475 -32.8199
32000 69.2475 -32.634
33000 68.7475 -34.6194
34000 68.2475 -32.8399
35000 67.7475 -31.794
36000 67.2475 -31.5734
37000 66.7475 -32.1829
38000 66.2475 -28.921
39000 65.7475 -30.0397
40000 65.2475 -30.2417
41000 64.7475 -29.5148
42000 64.2475 -29.0283
43000 63.7475 -26.8804
44000 63.2475 -26.8927
45000 62.7475 -26.0127
46000 62.2475 -25.7193
47000 61.7475 -24.7948
48000 61.2475 -27.0665
49000 60.7475 -23.4433
50000 60.2475 -21.7511
51000 59.7475 -20.3773
