# Time-averaged data for fix out
# TimeStep v_depth v_force v_forcePermeter
1000 0.2525 0 0
2000 0.7525 0 0
3000 1.2525 0 0
4000 1.7525 0 0
5000 2.2525 0 0
6000 2.7525 0 0
7000 3.2525 0 0
8000 3.7525 0 0
9000 4.2525 0 0
10000 4.7525 0 0
11000 5.2525 0 0
12000 5.7525 0 0
13000 6.2525 0 0
14000 6.7525 0 0
15000 7.2525 0 0
16000 7.7525 0 0
17000 8.2525 0 0
18000 8.7525 0 0
19000 9.2525 0 0
20000 9.7525 0 0
21000 10.2525 0 0
22000 10.7525 0 0
23000 11.2525 0 0
24000 11.7525 0 0
25000 12.2525 0 0
26000 12.7525 0 0
27000 13.2525 0 0
28000 13.7525 0 0
29000 14.2525 0 0
30000 14.7525 0 0
31000 15.2525 0 0
32000 15.7525 0 0
33000 16.2525 0 0
34000 16.7525 0 0
35000 17.2525 0 0
36000 17.7525 0 0
37000 18.2525 0 0
38000 18.7525 0 0
39000 19.2525 0 0
40000 19.7525 0 0
41000 20.2525 0 0
42000 20.7525 0 0
43000 21.2525 0 0
44000 21.7525 0 0
45000 22.2525 0 0
46000 22.7525 0 0
47000 23.2525 0 0
48000 23.7525 0 0
49000 24.2525 0 0
50000 24.7525 0 0
51000 25.2525 0 0
52000 25.7525 0 0
53000 26.2525 0 0
54000 26.7525 0 0
55000 27.2525 0 0
56000 27.7525 0 0
57000 28.2525 0 0
58000 28.7525 0 0
59000 29.2525 0 0
60000 29.7525 0 0
61000 30.2525 0 0
62000 30.7525 0 0
63000 31.2525 0 0
64000 31.7525 0 0
65000 32.2525 0 0
66000 32.7525 0 0
67000 33.2525 0 0
68000 33.7525 0 0
69000 34.2525 0 0
70000 34.7525 0 0
71000 35.2525 0 0
72000 35.7525 0 0
73000 36.2525 0 0
74000 36.7525 0 0
75000 37.2525 0 0
76000 37.7525 0 0
77000 38.2525 0 0
78000 38.7525 0 0
79000 39.2525 0 0
80000 39.7525 0 0
81000 40.2525 0 0
82000 40.7525 0 0
83000 41.2525 0 0
84000 41.7525 0 0
85000 42.2525 0 0
86000 42.7525 0 0
87000 43.2525 0 0
88000 43.7525 0 0
89000 44.2525 0 0
90000 44.7525 0 0
91000 45.2525 0 0
92000 45.7525 0 0
93000 46.2525 0 0
94000 46.7525 0 0
95000 47.2525 0 0
96000 47.7525 -0.00188568 -1.56598e-07
97000 48.2525 -0.0105939 -8.7978e-07
98000 48.7525 -0.000405483 -3.36736e-08
99000 49.2525 -2.87475e-05 -2.38736e-09
100000 49.7525 0 0
101000 50.2525 -0.00639953 -5.31453e-07
102000 50.7525 -0.0115511 -9.59267e-07
103000 51.2525 -0.120365 -9.99582e-06
104000 51.7525 -0.253592 -2.10598e-05
105000 52.2525 -0.151621 -1.25915e-05
106000 52.7525 -0.717484 -5.9584e-05
107000 53.2525 -0.269309 -2.23649e-05
108000 53.7525 -1.46287 -0.000121485
109000 54.2525 -0.639523 -5.31096e-05
110000 54.7525 -1.91943 -0.000159401
111000 55.2525 -1.36883 -0.000113676
112000 55.7525 -3.29287 -0.000273458
113000 56.2525 -2.35575 -0.000195635
114000 56.7525 -2.79996 -0.000232525
115000 57.2525 -2.79179 -0.000231846
116000 57.7525 -4.26418 -0.000354122
117000 58.2525 -5.02209 -0.000417063
118000 58.7525 -4.64449 -0.000385705
119000 59.2525 -3.65386 -0.000303438
120000 59.7525 -6.01182 -0.000499256
121000 60.2525 -7.95703 -0.000660797
122000 60.7525 -8.2726 -0.000687004
123000 61.2525 -8.49711 -0.000705649
124000 61.7525 -9.28485 -0.000771067
125000 62.2525 -9.86922 -0.000819597
126000 62.7525 -10.802 -0.000897059
127000 63.2525 -12.7074 -0.0010553
128000 63.7525 -13.1706 -0.00109376
129000 64.2525 -14.5172 -0.00120559
130000 64.7525 -10.48 -0.000870315
131000 65.2525 -12.9166 -0.00107267
132000 65.7525 -14.6878 -0.00121976
133000 66.2525 -12.3941 -0.00102928
134000 66.7525 -14.2041 -0.00117959
135000 67.2525 -11.916 -0.000989569
136000 67.7525 -13.1715 -0.00109384
137000 68.2525 -13.958 -0.00115915
138000 68.7525 -12.2078 -0.00101381
139000 69.2525 -13.6897 -0.00113687
140000 69.7525 -15.9355 -0.00132337
141000 70.2525 -13.6549 -0.00113398
142000 70.7525 -11.141 -0.00092521
143000 71.2525 -12.0993 -0.0010048
144000 71.7525 -10.378 -0.000861851
145000 72.2525 -9.78264 -0.000812407
146000 72.7525 -5.97916 -0.000496543
147000 73.2525 -7.66628 -0.000636651
148000 73.7525 -4.34708 -0.000361006
149000 74.2525 -1.99941 -0.000166043
150000 74.7525 1.40939 0.000117044
151000 75.2525 4.7694 0.000396078
152000 75.7525 7.858 0.000652573
153000 76.2525 7.83592 0.00065074
154000 76.7525 11.6519 0.000967644
155000 77.2525 15.6083 0.00129621
156000 77.7525 18.602 0.00154481
157000 78.2525 19.0765 0.00158423
158000 78.7525 23.7564 0.00197286
159000 79.2525 25.8072 0.00214318
160000 79.7525 27.5497 0.00228788
161000 80.2525 37.5981 0.00312236
162000 80.7525 37.9536 0.00315189
163000 81.2525 43.1482 0.00358327
164000 81.7525 47.873 0.00397564
165000 82.2525 49.3704 0.0041
166000 82.7525 54.7771 0.004549
167000 83.2525 60.1933 0.0049988
168000 83.7525 62.8898 0.00522273
169000 84.2525 66.2336 0.00550042
170000 84.7525 72.7392 0.00604068
# Time-averaged data for fix out
# TimeStep v_depth v_force v_forcePermeter
1000 84.7475 15.5245 0.00128924
2000 84.2475 36.4285 0.00302523
3000 83.7475 16.117 0.00133845
4000 83.2475 -0.70161 -5.82657e-05
5000 82.7475 -12.2881 -0.00102047
6000 82.2475 -15.1916 -0.0012616
7000 81.7475 -27.5067 -0.00228432
8000 81.2475 -30.1301 -0.00250217
9000 80.7475 -35.0772 -0.00291301
10000 80.2475 -43.1459 -0.00358309
11000 79.7475 -43.3493 -0.00359998
12000 79.2475 -54.3568 -0.0045141
13000 78.7475 -57.6554 -0.00478803
14000 78.2475 -57.4453 -0.00477059
15000 77.7475 -60.2083 -0.00500004
16000 77.2475 -63.7099 -0.00529083
17000 76.7475 -66.6917 -0.00553846
18000 76.2475 -67.6866 -0.00562108
19000 75.7475 -68.2647 -0.00566909
20000 75.2475 -71.4027 -0.00592969
21000 74.7475 -70.8173 -0.00588108
22000 74.2475 -76.0154 -0.00631276
