# Time-averaged data for fix out
# TimeStep v_depth v_force v_forcePermeter
1000 0.2525 0 0
2000 0.7525 0 0
3000 1.2525 0 0
4000 1.7525 0 0
5000 2.2525 0 0
6000 2.7525 0 0
7000 3.2525 0 0
8000 3.7525 0 0
9000 4.2525 0 0
10000 4.7525 0 0
11000 5.2525 0 0
12000 5.7525 0 0
13000 6.2525 0 0
14000 6.7525 0 0
15000 7.2525 0 0
16000 7.7525 0 0
17000 8.2525 0 0
18000 8.7525 0 0
19000 9.2525 0 0
20000 9.7525 0 0
21000 10.2525 0 0
22000 10.7525 0 0
23000 11.2525 0 0
24000 11.7525 0 0
25000 12.2525 0 0
26000 12.7525 0 0
27000 13.2525 0 0
28000 13.7525 0 0
29000 14.2525 0 0
30000 14.7525 0 0
31000 15.2525 0 0
32000 15.7525 0 0
33000 16.2525 0 0
34000 16.7525 0 0
35000 17.2525 0 0
36000 17.7525 0 0
37000 18.2525 0 0
38000 18.7525 0 0
39000 19.2525 0 0
40000 19.7525 0 0
41000 20.2525 0 0
42000 20.7525 0 0
43000 21.2525 0 0
44000 21.7525 0 0
45000 22.2525 0 0
46000 22.7525 0 0
47000 23.2525 0 0
48000 23.7525 0 0
49000 24.2525 0 0
50000 24.7525 0 0
51000 25.2525 0 0
52000 25.7525 0 0
53000 26.2525 0 0
54000 26.7525 0 0
55000 27.2525 0 0
56000 27.7525 0 0
57000 28.2525 0 0
58000 28.7525 0 0
59000 29.2525 0 0
60000 29.7525 0 0
61000 30.2525 0 0
62000 30.7525 0 0
63000 31.2525 0 0
64000 31.7525 0 0
65000 32.2525 0 0
66000 32.7525 0 0
67000 33.2525 0 0
68000 33.7525 0 0
69000 34.2525 0 0
70000 34.7525 0 0
71000 35.2525 0 0
72000 35.7525 0 0
73000 36.2525 0 0
74000 36.7525 0 0
75000 37.2525 0 0
76000 37.7525 0 0
77000 38.2525 0 0
78000 38.7525 0 0
79000 39.2525 0 0
80000 39.7525 0 0
81000 40.2525 0 0
82000 40.7525 0 0
83000 41.2525 0 0
84000 41.7525 0 0
85000 42.2525 0 0
86000 42.7525 -0.000124319 -1.03242e-08
87000 43.2525 -0.00211886 -1.75962e-07
88000 43.7525 -0.00362777 -3.01271e-07
89000 44.2525 -0.0070573 -5.86078e-07
90000 44.7525 -0.0323246 -2.68442e-06
91000 45.2525 -0.138565 -1.15072e-05
92000 45.7525 -0.0670733 -5.57015e-06
93000 46.2525 -0.0598408 -4.96952e-06
94000 46.7525 -0.0863796 -7.17346e-06
95000 47.2525 -0.219047 -1.81909e-05
96000 47.7525 -0.332442 -2.76079e-05
97000 48.2525 -0.447872 -3.71938e-05
98000 48.7525 -0.303089 -2.51702e-05
99000 49.2525 -0.551361 -4.57881e-05
100000 49.7525 -0.957441 -7.95113e-05
101000 50.2525 -0.482651 -4.00821e-05
102000 50.7525 -1.83699 -0.000152554
103000 51.2525 -1.38439 -0.000114968
104000 51.7525 -1.10423 -9.17016e-05
105000 52.2525 -1.81233 -0.000150506
106000 52.7525 -2.86215 -0.00023769
107000 53.2525 -2.67984 -0.000222549
108000 53.7525 -2.34667 -0.000194881
109000 54.2525 -2.7004 -0.000224256
110000 54.7525 -4.12939 -0.000342928
111000 55.2525 -3.19495 -0.000265327
112000 55.7525 -4.96217 -0.000412087
113000 56.2525 -5.33072 -0.000442693
114000 56.7525 -5.10661 -0.000424082
115000 57.2525 -5.01104 -0.000416146
116000 57.7525 -6.01065 -0.000499158
117000 58.2525 -4.86124 -0.000403705
118000 58.7525 -5.51714 -0.000458175
119000 59.2525 -6.31531 -0.000524459
120000 59.7525 -7.62477 -0.000633205
121000 60.2525 -6.86265 -0.000569914
122000 60.7525 -9.09782 -0.000755535
123000 61.2525 -7.48817 -0.000621861
124000 61.7525 -8.99462 -0.000746965
125000 62.2525 -10.1023 -0.000838951
126000 62.7525 -9.84278 -0.000817401
127000 63.2525 -8.12056 -0.000674378
128000 63.7525 -12.4859 -0.0010369
129000 64.2525 -12.3052 -0.00102189
130000 64.7525 -11.2106 -0.000930992
131000 65.2525 -13.9632 -0.00115959
132000 65.7525 -15.8748 -0.00131834
133000 66.2525 -16.4055 -0.00136241
134000 66.7525 -16.3063 -0.00135417
135000 67.2525 -20.8705 -0.00173321
136000 67.7525 -20.3258 -0.00168797
137000 68.2525 -23.5316 -0.0019542
138000 68.7525 -21.4336 -0.00177997
139000 69.2525 -22.7959 -0.0018931
140000 69.7525 -25.6786 -0.0021325
141000 70.2525 -22.3963 -0.00185992
142000 70.7525 -21.1983 -0.00176043
143000 71.2525 -24.36 -0.002023
144000 71.7525 -21.3729 -0.00177493
145000 72.2525 -16.7465 -0.00139072
146000 72.7525 -14.9099 -0.00123821
147000 73.2525 -17.5354 -0.00145624
148000 73.7525 -12.2329 -0.00101589
149000 74.2525 -10.0449 -0.000834187
150000 74.7525 -6.09984 -0.000506566
151000 75.2525 -4.75855 -0.000395178
152000 75.7525 -4.19204 -0.000348131
153000 76.2525 3.48038 0.000289031
154000 76.7525 3.67499 0.000305192
155000 77.2525 8.45243 0.000701938
156000 77.7525 12.577 0.00104446
157000 78.2525 17.0034 0.00141206
158000 78.7525 17.3361 0.00143969
159000 79.2525 28.5212 0.00236856
160000 79.7525 30.2596 0.00251293
161000 80.2525 31.6654 0.00262968
162000 80.7525 36.852 0.0030604
163000 81.2525 41.4439 0.00344174
164000 81.7525 45.888 0.0038108
165000 82.2525 51.7612 0.00429855
166000 82.7525 57.2511 0.00475446
167000 83.2525 59.7703 0.00496366
168000 83.7525 68.2621 0.00566888
169000 84.2525 76.4854 0.00635179
170000 84.7525 75.6222 0.0062801
# Time-averaged data for fix out
# TimeStep v_depth v_force v_forcePermeter
1000 84.7475 23.2138 0.0019278
2000 84.2475 41.5418 0.00344987
3000 83.7475 21.6515 0.00179806
4000 83.2475 5.19688 0.000431579
5000 82.7475 -9.99628 -0.000830148
6000 82.2475 -16.4186 -0.00136349
7000 81.7475 -22.0363 -0.00183002
8000 81.2475 -35.3188 -0.00293308
9000 80.7475 -39.3207 -0.00326542
10000 80.2475 -46.5459 -0.00386544
11000 79.7475 -54.6738 -0.00454042
12000 79.2475 -54.7476 -0.00454656
13000 78.7475 -60.3186 -0.0050092
14000 78.2475 -67.3026 -0.00558919
15000 77.7475 -64.27 -0.00533735
16000 77.2475 -71.8353 -0.00596562
