# Time-averaged data for fix out
# TimeStep v_depth v_force
1000 0.2525 0
2000 0.7525 0
3000 1.2525 0
4000 1.7525 0
5000 2.2525 0
6000 2.7525 0
7000 3.2525 0
8000 3.7525 0
9000 4.2525 0
10000 4.7525 0
11000 5.2525 0
12000 5.7525 0
13000 6.2525 0
14000 6.7525 0
15000 7.2525 0
16000 7.7525 0
17000 8.2525 0
18000 8.7525 0
19000 9.2525 0
20000 9.7525 0
21000 10.2525 0
22000 10.7525 0
23000 11.2525 0
24000 11.7525 0
25000 12.2525 0
26000 12.7525 0
27000 13.2525 0
28000 13.7525 0
29000 14.2525 0
30000 14.7525 0
31000 15.2525 0
32000 15.7525 0
33000 16.2525 0
34000 16.7525 0
35000 17.2525 0
36000 17.7525 0
37000 18.2525 0
38000 18.7525 0
39000 19.2525 0
40000 19.7525 0
41000 20.2525 0
42000 20.7525 0
43000 21.2525 0
44000 21.7525 0
45000 22.2525 0
46000 22.7525 0
47000 23.2525 0
48000 23.7525 0
49000 24.2525 0
50000 24.7525 0
51000 25.2525 0
52000 25.7525 0
53000 26.2525 0
54000 26.7525 0
55000 27.2525 0
56000 27.7525 0
57000 28.2525 0
58000 28.7525 0
59000 29.2525 0
60000 29.7525 0
61000 30.2525 0
62000 30.7525 0
63000 31.2525 0
64000 31.7525 0
65000 32.2525 0
66000 32.7525 0
67000 33.2525 0
68000 33.7525 0
69000 34.2525 0
70000 34.7525 0
71000 35.2525 0
72000 35.7525 0
73000 36.2525 0
74000 36.7525 0
75000 37.2525 0
76000 37.7525 0
77000 38.2525 0
78000 38.7525 0
79000 39.2525 0
80000 39.7525 0
81000 40.2525 0
82000 40.7525 0
83000 41.2525 0
84000 41.7525 0
85000 42.2525 0
86000 42.7525 0
87000 43.2525 0
88000 43.7525 0
89000 44.2525 0
90000 44.7525 0
91000 45.2525 0
92000 45.7525 0
93000 46.2525 0
94000 46.7525 -0.000492706
95000 47.2525 0
96000 47.7525 0
97000 48.2525 -0.000340708
98000 48.7525 -0.000446808
99000 49.2525 -0.0014616
100000 49.7525 -0.00411972
101000 50.2525 -0.0124672
102000 50.7525 -0.0646999
103000 51.2525 -0.237107
104000 51.7525 -0.437346
105000 52.2525 -0.578875
106000 52.7525 -0.436938
107000 53.2525 -0.765551
108000 53.7525 -0.744405
109000 54.2525 -0.581602
110000 54.7525 -0.876243
111000 55.2525 -1.09251
112000 55.7525 -0.994974
113000 56.2525 -0.746604
114000 56.7525 -1.16336
115000 57.2525 -1.00362
116000 57.7525 -0.944494
117000 58.2525 -0.940558
118000 58.7525 -1.07892
119000 59.2525 -0.335085
120000 59.7525 -0.573555
121000 60.2525 -0.453994
122000 60.7525 -0.89965
123000 61.2525 -0.0734838
124000 61.7525 -0.0751858
125000 62.2525 0.417983
126000 62.7525 -0.0898745
127000 63.2525 -0.387083
128000 63.7525 -0.179889
129000 64.2525 0.689508
130000 64.7525 -0.768882
131000 65.2525 0.0263633
132000 65.7525 -0.262667
133000 66.2525 0.965126
134000 66.7525 0.568543
135000 67.2525 0.715821
136000 67.7525 0.279926
137000 68.2525 0.982215
138000 68.7525 0.426607
139000 69.2525 0.395864
140000 69.7525 1.97166
141000 70.2525 0.35049
142000 70.7525 1.02157
143000 71.2525 0.660833
144000 71.7525 0.513005
145000 72.2525 1.24798
146000 72.7525 1.2535
147000 73.2525 2.19935
148000 73.7525 2.17971
149000 74.2525 1.70305
150000 74.7525 0.738099
151000 75.2525 1.88965
152000 75.7525 2.34775
153000 76.2525 1.00608
154000 76.7525 2.5744
155000 77.2525 1.66576
156000 77.7525 2.42872
157000 78.2525 2.28722
158000 78.7525 2.98544
159000 79.2525 2.17558
160000 79.7525 2.97077
161000 80.2525 2.89199
162000 80.7525 2.43088
163000 81.2525 3.19222
164000 81.7525 2.71006
165000 82.2525 3.64956
166000 82.7525 3.62618
167000 83.2525 3.5637
168000 83.7525 4.15376
169000 84.2525 4.27205
170000 84.7525 3.47342
